6	12430929	12435026	WT
6	28194358	28196450	WT
9	130805438	130809654	WT
22	23289741	23291462	WT
9	130803117	130810231	WT
13	88475986	88482186	WT
22	23288205	23294714	WT
1	197199257	197202915	WT
9	130804558	130810293	WT
22	23285765	23297459	WT
1	176409653	176424702	WT
5	169071739	169071972	WT
16	21581883	21586490	WT
2	169283235	169296409	WT
5	146405961	146425819	WT
9	130797635	130812091	WT
17	62173248	62181585	WT
22	23286738	23293417	WT
X	108541680	108561416	WT
1	160693938	160699422	WT
6	19734245	19758445	WT
17	34160331	34173932	WT
X	25192303	25193533	WT
6	107607133	107620252	WT
12	102508093	102510633	WT
18	9470751	9491544	WT
22	23282117	23291548	WT
1	183436239	183446066	WT
3	86135595	86139621	WT
5	27265895	27288764	WT
6	124333689	124351579	WT
20	17989288	17996570	WT
X	107551993	107557521	WT
3	159084623	159106073	WT
5	5074676	5084981	WT
5	107019294	107034641	WT
21	40287923	40312840	WT
1	38661545	38683030	WT
11	125411881	125423724	WT
18	66009914	66021077	WT
4	166586802	166596681	WT
22	23279231	23294345	WT
4	70532361	70556709	WT
22	42461696	42482696	WT
14	101242160	101259552	WT
10	85002507	85016620	WT
22	23286955	23290229	WT
5	96094595	96111540	WT
11	122007361	122029525	WT
21	34056900	34075832	WT
1	25133750	25145875	WT
9	130795238	130806359	WT
1	201875786	201892409	WT
5	14948052	14960690	WT
6	53102668	53112597	WT
22	23271020	23292898	WT
9	130802188	130811451	WT
22	23286453	23305374	WT
1	175770211	175789764	WT
4	11221328	11234344	WT
7	13931251	13939606	WT
9	130801103	130806334	WT
10	90729616	90737670	WT
22	23289176	23291341	WT
4	11226416	11235270	WT
7	13921248	13942734	WT
9	130788774	130806908	WT
10	90735289	90739139	WT
1	99606381	99608350	WT
9	130800547	130811916	WT
1	167336442	167354606	WT
3	143903810	143926987	WT
5	92243353	92254741	WT
22	23286900	23297140	WT
9	130797760	130811400	WT
18	29189554	29196491	WT
21	29820540	29831271	WT
22	23278763	23296788	WT
22	23286401	23298076	WT
7	111052126	111055582	WT
9	87645646	87648041	WT
9	130805095	130807577	WT
12	3164925	3181437	WT
14	60702142	60712374	WT
4	18710014	18722896	WT
5	56805716	56820552	WT
11	23780544	23787904	WT
16	63249061	63263635	WT
X	29608908	29620233	WT
5	56806461	56823149	WT
16	63260765	63265644	WT
X	29602881	29622217	WT
11	116014156	116027651	WT
3	185915969	185926566	WT
9	130804649	130809056	WT
22	23286538	23300225	WT
1	40394692	40409615	WT
2	144913642	144923015	WT
4	112592672	112592887	WT
6	116988513	117008242	WT
7	75997069	76019981	WT
9	130796427	130807367	WT
12	11304377	11308213	WT
13	39035359	39053441	WT
19	34391389	34396968	WT
22	23288271	23291668	WT
4	39124126	39129895	WT
6	105932020	105937924	WT
9	130805120	130827710	WT
10	75934387	75941596	WT
